"price","airline","Origin","Destination","DepartureDate","ReturnDate","ScrapeDate","nbr_trials","Journey","TravelDates","DaysBeforeDeparture"
6167,NA,"BER","BKK",2019-02-04,2019-02-11,2019-01-25,1,"BER-BKK","2019-02-04-2019-02-11",10
6180,NA,"BER","BKK",2019-02-04,2019-02-11,2019-01-26,1,"BER-BKK","2019-02-04-2019-02-11",9
6180,NA,"BER","BKK",2019-02-04,2019-02-11,2019-01-27,1,"BER-BKK","2019-02-04-2019-02-11",8
6399,NA,"BER","BKK",2019-02-05,2019-02-10,2019-01-20,1,"BER-BKK","2019-02-05-2019-02-10",16
6399,NA,"BER","BKK",2019-02-05,2019-02-10,2019-01-21,1,"BER-BKK","2019-02-05-2019-02-10",15
6373,NA,"BER","BKK",2019-02-05,2019-02-10,2019-01-24,1,"BER-BKK","2019-02-05-2019-02-10",12
6390,NA,"BER","BKK",2019-02-05,2019-02-10,2019-01-25,1,"BER-BKK","2019-02-05-2019-02-10",11
6401,NA,"BER","BKK",2019-02-05,2019-02-10,2019-01-26,1,"BER-BKK","2019-02-05-2019-02-10",10
6401,NA,"BER","BKK",2019-02-05,2019-02-10,2019-01-27,1,"BER-BKK","2019-02-05-2019-02-10",9
6440,NA,"BER","BKK",2019-02-05,2019-02-10,2019-01-29,1,"BER-BKK","2019-02-05-2019-02-10",7
6330,NA,"BER","BKK",2019-02-05,2019-02-11,2019-01-21,1,"BER-BKK","2019-02-05-2019-02-11",15
6389,NA,"BER","BKK",2019-02-05,2019-02-11,2019-01-24,1,"BER-BKK","2019-02-05-2019-02-11",12
6390,NA,"BER","BKK",2019-02-05,2019-02-11,2019-01-25,1,"BER-BKK","2019-02-05-2019-02-11",11
6401,NA,"BER","BKK",2019-02-05,2019-02-11,2019-01-26,1,"BER-BKK","2019-02-05-2019-02-11",10
6401,NA,"BER","BKK",2019-02-05,2019-02-11,2019-01-27,1,"BER-BKK","2019-02-05-2019-02-11",9
6440,NA,"BER","BKK",2019-02-05,2019-02-11,2019-01-29,1,"BER-BKK","2019-02-05-2019-02-11",7
